m,n,p,output_size,run,cpu_ms,cpu_gflops,naive_ms,naive_gflops,tiled_ms,tiled_gflops,naive_speedup,tiled_speedup,naive_max_abs_diff,tiled_max_abs_diff
256,256,256,65536,1,10.2201,3.2832,0.0522,642.2737,0.0532,630.6010,195.6255,192.0702,0.0000,22.8438
256,256,256,65536,2,10.1202,3.3156,0.0522,642.8328,0.0525,639.3210,193.8811,192.8219,0.0000,22.8438
256,256,256,65536,3,10.0662,3.3334,0.0542,619.6232,0.0529,634.7620,185.8844,190.4259,0.0000,22.8438
256,256,256,65536,4,10.2437,3.2756,0.0527,636.5809,0.0524,640.0703,194.3397,195.4050,0.0000,22.8438
256,256,256,65536,5,9.9982,3.3560,0.0523,641.5585,0.0523,642.0692,191.1648,191.3170,0.0000,22.8438
256,256,256,65536,6,10.7589,3.1187,0.0527,636.3490,0.0526,637.8122,204.0398,204.5090,0.0000,22.8438
256,256,256,65536,7,11.2413,2.9849,0.0526,637.5020,0.0533,629.7829,213.5736,210.9876,0.0000,22.8438
256,256,256,65536,8,9.9818,3.3616,0.0527,636.5886,0.0528,635.1850,189.3729,188.9554,0.0000,22.8438
256,256,256,65536,9,10.0754,3.3303,0.0551,608.9504,0.0525,639.0639,182.8491,191.8913,0.0000,22.8438
256,256,256,65536,10,10.0238,3.3475,0.0526,638.3947,0.0524,640.5708,190.7086,191.3587,0.0000,22.8438
256,256,256,65536,11,10.3340,3.2470,0.0522,642.1950,0.0529,634.2628,197.7812,195.3383,0.0000,22.8438
512,256,128,65536,1,10.1210,3.3153,0.0571,587.2993,0.0573,585.6069,177.1470,176.6365,0.0000,25.4416
512,256,128,65536,2,9.5707,3.5060,0.0578,581.0187,0.0576,582.0572,165.7230,166.0192,0.0000,25.4416
512,256,128,65536,3,9.5518,3.5129,0.0575,583.7097,0.0599,559.9393,166.1624,159.3958,0.0000,25.4416
512,256,128,65536,4,9.5819,3.5019,0.0574,584.3147,0.0583,575.6410,166.8588,164.3820,0.0000,25.4416
512,256,128,65536,5,9.5536,3.5122,0.0574,584.5296,0.0571,587.4770,166.4274,167.2665,0.0000,25.4416
512,256,128,65536,6,9.6097,3.4917,0.0576,582.8920,0.0577,581.6826,166.9359,166.5895,0.0000,25.4416
512,256,128,65536,7,9.5414,3.5167,0.0575,583.7811,0.0575,583.3395,166.0023,165.8767,0.0000,25.4416
512,256,128,65536,8,9.5610,3.5095,0.0576,582.3093,0.0576,582.0443,165.9231,165.8476,0.0000,25.4416
512,256,128,65536,9,9.5517,3.5129,0.0578,581.0187,0.0568,590.4343,165.3950,168.0753,0.0000,25.4416
512,256,128,65536,10,9.5857,3.5005,0.0579,579.8748,0.0577,581.1475,165.6563,166.0198,0.0000,25.4416
512,256,128,65536,11,9.7127,3.4547,0.0588,570.4425,0.0637,526.3883,165.1216,152.3695,0.0000,25.4416
1024,512,256,262144,1,84.4731,3.1778,0.2108,1273.3164,0.2104,1275.6399,400.6958,401.4269,0.0000,33.6548
1024,512,256,262144,2,86.3181,3.1098,0.2116,1268.4068,0.2110,1272.3217,407.8689,409.1278,0.0000,33.6548
1024,512,256,262144,3,85.2927,3.1472,0.2106,1274.8644,0.2109,1272.6788,405.0756,404.3811,0.0000,33.6548
1024,512,256,262144,4,83.9937,3.1959,0.2103,1276.2028,0.2104,1275.6399,399.3249,399.1488,0.0000,33.6548
1024,512,256,262144,5,81.3854,3.2983,0.2102,1277.1742,0.2106,1274.8742,387.2191,386.5218,0.0000,33.6548
1024,512,256,262144,6,81.7923,3.2819,0.2127,1261.9477,0.2165,1239.6072,384.5155,377.7084,0.0000,33.6548
1024,512,256,262144,7,85.5642,3.1372,0.2115,1269.4144,0.2111,1271.8780,404.6277,405.4130,0.0000,33.6548
1024,512,256,262144,8,82.7515,3.2439,0.2159,1243.4382,0.2113,1270.6739,383.3191,391.7151,0.0000,33.6548
1024,512,256,262144,9,83.2866,3.2230,0.2105,1275.2521,0.2104,1275.7175,395.6686,395.8129,0.0000,33.6548
1024,512,256,262144,10,84.0336,3.1944,0.2126,1262.5839,0.2108,1273.6643,395.2515,398.7202,0.0000,33.6548
1024,512,256,262144,11,84.8955,3.1620,0.2113,1270.6546,0.2133,1258.2377,401.8578,397.9308,0.0000,33.6548
2048,1024,512,1048576,1,1810.2704,1.1863,0.9842,2182.0118,1.0083,2129.8046,1839.3767,1795.3674,0.0000,59.0119
2048,1024,512,1048576,2,1728.3303,1.2425,0.9824,2185.9138,1.0083,2129.7437,1759.2595,1714.0529,0.0000,59.0119
2048,1024,512,1048576,3,1774.8583,1.2099,0.9836,2183.2044,1.0086,2129.1627,1804.3808,1759.7164,0.0000,59.0119
2048,1024,512,1048576,4,1799.6738,1.1933,0.9851,2179.9421,1.0148,2116.2311,1826.8752,1773.4830,0.0000,59.0119
2048,1024,512,1048576,5,1717.9688,1.2500,0.9828,2185.0598,1.0101,2126.0731,1748.0294,1700.8406,0.0000,59.0119
2048,1024,512,1048576,6,1777.4377,1.2082,0.9874,2174.7850,1.0107,2124.7338,1800.0346,1758.6080,0.0000,59.0119
2048,1024,512,1048576,7,1725.7420,1.2444,0.9850,2180.1404,1.0092,2127.9203,1751.9853,1710.0207,0.0000,59.0119
2048,1024,512,1048576,8,1790.1261,1.1996,0.9838,2182.9557,1.0198,2105.8320,1819.6954,1755.4056,0.0000,59.0119
2048,1024,512,1048576,9,1724.7967,1.2451,0.9868,2176.1038,1.0096,2127.0168,1747.7835,1708.3583,0.0000,59.0119
2048,1024,512,1048576,10,1909.7206,1.1245,0.9841,2182.2318,1.0087,2129.0409,1940.6215,1893.3198,0.0000,59.0119
2048,1024,512,1048576,11,1765.3298,1.2165,0.9825,2185.6574,1.0090,2128.2240,1796.7104,1749.4974,0.0000,59.0119
2048,256,2048,4194304,1,2391.6074,0.8979,1.2289,1747.5493,1.2529,1713.9634,1946.2089,1908.8050,0.0000,27.9568
2048,256,2048,4194304,2,2425.5952,0.8853,1.2266,1750.8229,1.2524,1714.7560,1977.5645,1936.8268,0.0000,31.3056
2048,256,2048,4194304,3,2407.1201,0.8921,1.2313,1744.0885,1.2534,1713.3901,1954.9534,1920.5435,0.0000,27.9568
2048,256,2048,4194304,4,2383.1884,0.9011,1.2274,1749.5766,1.2514,1716.0058,1941.6077,1904.3521,0.0000,31.2501
2048,256,2048,4194304,5,2382.3850,0.9014,1.2259,1751.8192,1.2587,1706.1416,1943.4410,1892.7670,0.0000,27.9568
2048,256,2048,4194304,6,2385.3904,0.9003,1.2236,1755.0675,1.2514,1716.0102,1949.5008,1906.1166,0.0000,30.5954
2048,256,2048,4194304,7,2372.5979,0.9051,1.2186,1762.2849,1.2513,1716.2601,1947.0199,1896.1705,0.0000,27.9568
2048,256,2048,4194304,8,2372.8345,0.9050,1.2216,1757.8763,1.2526,1714.3792,1942.3429,1894.2813,0.0000,28.4666
2048,256,2048,4194304,9,2392.2770,0.8977,1.2234,1755.3659,1.2514,1715.9969,1955.4614,1911.6048,0.0000,28.4549
2048,256,2048,4194304,10,2373.1331,0.9049,1.2202,1759.9924,1.2513,1716.1374,1944.9257,1896.4626,0.0000,27.9568
2048,256,2048,4194304,11,2370.6057,0.9059,1.2253,1752.5879,1.2538,1712.7167,1934.6805,1890.6667,0.0000,32.2054
